substance_id,substance_name,as_cas_number,substance_status,approval_date,expiry_date,risk_assessment,substance_category,as_is_group,as_micro_org,rms,corms,remark,legislations_old,legislations_actives,tox_value_adi,tox_source_adi,tox_remark_adi,tox_value_arfd,tox_sourc_earfd,tox_source_earfd,tox_remark_arfd,tox_value_aoel,tox_source_aoel,tox_remark_aoel,tox_value_aaoel,tox_source_aaoel,tox_remark_aaoel,tox_value_other,tox_source_other,tox_remark_other,authorisations_at_nat_level,classification_reg_1272,ac_type,basic_substance,low_risk_active_substance,candidate_for_substitution,candidate_for_substitution_type,active_substance_part_of_group,active_substance_part_of_group_id,as_member_id,as_member_name,pesticide_residue_linked,pest_res_linked_annex,pest_res_linked_legislation,pest_res_linked_legislation_url,pest_res_mrl_webpage
460,Bifenthrin,82657-04-3,Not approved,01/08/2012,31/07/2019,COM,IN - Insecticide,No,No,BE,HU,,"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32009D0887:EN:NOT"">2009/887/EC</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1531303737095&uri=CELEX:32017R0195"">Reg. (EU) 2017/195</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1521538882414&uri=CELEX:32018R029"">Reg. (EU) 2018/291</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1551178445992&uri=CELEX:32019R0324"">Reg. (EU) 2019/324</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32012R0582:EN:NOT"">Reg. (EU) No 582/2012</a>","<a href=""http://data.europa.eu/eli/reg_impl/2022/801/oj"">Reg. (EU) 2022/801</a>",0.015 mg/kg bw/day,Reg. (EU) 2018/291,,0.03 mg/kg bw,Reg. (EU) 2018/291,Reg. (EU) 2018/291,,0.0075 mg/kg bw/day,Reg. (EU) 2018/291,,,,,,,,,Acute Tox. 2 - H300; Acute Tox. 3 - H331; Aquatic Acute 1 - H400; Aquatic Chronic 1 - H410; Carc. 2 - H351; STOT RE 1 - H372; Skin Sens. 1B - H317,3,No,No,Yes,two PBT criteria,,,,,Bifenthrin (sum of isomers),Annex II,Reg. (EC) No 839/2008,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008R0839:EN:NOT,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=28
1240,"(E,Z,Z)-3,8,11-Tetradecatrien-1-yl acetate (SCLP Acetates)",No CAS allocated,Approved,01/09/2022,30/08/2037,EFSA,AT - Attractant,No,No,AT,,,"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008L0127:EN:NOT"">2008/127</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1503309323015&uri=CELEX:32017R0195"">Reg. (EU) 2017/195</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1599215034729&uri=CELEX:32020R1160"">Reg. (EU)2020/1160</a>","<a href=""http://data.europa.eu/eli/reg_impl/2021/745/oj"">Reg. (EU) 2021/745</a>; <a href=""http://data.europa.eu/eli/reg_impl/2022/1251/oj"">Reg. (EU) 2022/1251</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32014R0918"">Reg. (EU) No 918/2014</a>",,,,,,,,,,,,,,,,,"AT, BE, BG, CY, CZ, EL, ES, FR, HU, IE, IT, MT, NL, PL, PT, SK",,2,No,Yes,No,,Straight Chain Lepidopteran Pheromones (SCLPs) - Acetates,1530,361,(E)-8-Dodecen-1-yl acetate (SCLP Acetates),Straight Chain Lepidopteran Pheromones (SCLP),Annex IV,Reg. (EU) 2023/1719,http://data.europa.eu/eli/reg/2023/1719/oj,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=3350
258,Lactofen,77501-63-4,Not approved,,,,,No,No,,,,,"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32007D0442:EN:NOT"">2007/442</a>",,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,Lactofen,Annex V,Reg. (EC) No 839/2008,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008R0839:EN:NOT,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=789
887,Monocarbamide-dihydrogensulphate,No CAS allocated,Not approved,,,,HB - Herbicide,No,No,,,,,"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32007D0553:EN:NOT"">2007/553</a>",,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,Default MRL of 0.01 mg/kg according to Art 18(1)(b) Reg 396 / 2005,,,,
277,Mancozeb,8018-01-7,Not approved,01/07/2006,04/01/2021,EFSA,FU - Fungicide,No,No,EL,,<p>The original RMS was Italy.</p><p><br></p><p>The previous RMS was UK.</p><p>Withdrawal of authorisations: by 4 July 2021</p><p>Maximun Grace Period: 4 January 2022</p>,"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32005L0072:EN:NOT"">05/72/EC</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1542882404927&uri=CELEX:32018R1796"">Reg. (EU) 2018/1796</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1575892902511&uri=CELEX:32019R2094"">Reg. (EU) 2019/2094</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1517904431471&uri=CELEX:32018R0084"">Reg. (EU) 84/2018</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32013R0762:EN:NOT"">Reg. (EU) No 762/2013</a>","<a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32020R2087&qid=1608132304092"">Reg. (EU) 2020/2087</a>",0.023 mg/kg bw/day,Reg. (EU) 2020/2087,,0.15 mg/kg bw,Reg. (EU) 2020/2087,Reg. (EU) 2020/2087,,0.011 mg/kg bw/day,Reg. (EU) 2020/2087,,0.075 mg/kg bw,Reg. (EU) 2020/2087,,,,,,Aquatic Acute 1 - H400; Repr. 2 - H361d; Skin Sens. 1 - H317,,No,No,No,,,,,,"Dithiocarbamates (dithiocarbamates expressed as CS2, including maneb, mancozeb, metiram, propineb, thiram and ziram)",Annex II,Reg. (EU) 2016/1,http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32016R0001,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=83
929,Oxadixyl,77732-09-3,Not approved,,,,FU - Fungicide,No,No,,,,,"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32002R2076:EN:NOT"">2002/2076</a>",,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,Oxadixyl,Annex V,Reg. (EC) No 839/2008,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008R0839:EN:NOT,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=796
594,Cyproconazole,94361-06-5,Not approved,01/06/2011,31/05/2021,COM,FU - Fungicide,No,No,IE,EE,"p><a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008D0934:EN:NOT"" rel=""noopener noreferrer"" target=""_blank"">Initially non included by Decision 2008/934. Included as from 1 June 2011 following re-submission for inclusion according to Reg. 33/2008.</a>",,"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011L0056:EN:NOT"">2011/56/EU</a>; <a href=""http://data.europa.eu/eli/reg_impl/2022/801/oj"">Reg. (EU) 2022/801</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>",0.02 mg/kg bw/day,11/56/EU,,0.02 mg/kg bw,11/56/EU,11/56/EU,,0.02 mg/kg bw/day,11/56/EU,,,,,,,,,Acute Tox. 3 - H301; Aquatic Acute 1 - H400; Aquatic Chronic 1 - H410; Repr. 1B - H360D; STOT RE 2 - H373,3,No,No,Yes,two PBT criteria,,,,,Cyproconazole,Annex III,Reg. (EU) No 34/2013,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32013R0034:EN:NOT,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=266
313,Aldicarb,116-06-3,Not approved,,,,,No,No,,,,,"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32003D0199:EN:NOT"">2003/199/EC</a>",,,,,,,,,,,,,,,,,,Acute Tox. 2 - H300; Acute Tox. 2 - H330; Acute Tox. 3 - H311; Aquatic Acute 1 - H400; Aquatic Chronic 1 - H410,,No,No,No,,,,,,"Aldicarb (sum of aldicarb, its sulfoxide and its sulfone, expressed as aldicarb)",Annex II,Reg. (EC) No 149/2008,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008R0149:EN:NOT,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=12
354,"(Z,Z)-7,11-Hexadecadien-1-yl acetate (SCLP Acetates)",No CAS allocated,Approved,01/09/2022,30/08/2037,EFSA,AT - Attractant,No,No,IT,FR,,"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008L0127:EN:NOT"">2008/127</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1503309323015&uri=CELEX:32017R0195"">Reg. (EU) 2017/195</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1599215034729&uri=CELEX:32020R1160"">Reg. (EU)2020/1160</a>","<a href=""http://data.europa.eu/eli/reg_impl/2021/745/oj"">Reg. (EU) 2021/745</a>; <a href=""http://data.europa.eu/eli/reg_impl/2022/1251/oj"">Reg. (EU) 2022/1251</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32014R0918"">Reg. (EU) No 918/2014</a>",,,,,,,,,,,,,,,,,EL,,2,No,Yes,No,,Straight Chain Lepidopteran Pheromones (SCLPs) - Acetates,1530,1496,(Z)-7-dodecen-1-yl acetate (SCLP Actetates),Straight Chain Lepidopteran Pheromones (SCLP),Annex IV,Reg. (EU) 2023/1719,http://data.europa.eu/eli/reg/2023/1719/oj,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=3350
1143,Sodium dichlorophenate,No CAS allocated,Not approved,,,,BA - Bactericide,No,No,,,,,"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32002R2076:EN:NOT"">2002/2076</a>",,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,Default MRL of 0.01 mg/kg according to Art 18(1)(b) Reg 396 / 2005,,,,
